annual_income,monthly_income,loan_amount,existing_debts,debt_to_income_ratio,number_of_credit_cards,credit_utilization_ratio,payment_history,number_of_late_payments,loan_repayment_history,employment_length,age,savings_balance,previous_defaults,credit_history_length,creditworthiness
194400.0,16289.39,32500.0,4300.0,0.0221,6,0.476,Good,1,Defaulted,19.4,47,5200.0,No,12.8,Good
27200.0,2464.86,8000.0,17800.0,0.6544,6,0.606,Fair,3,All Paid,14.8,54,800.0,No,16.0,Good
40300.0,3719.24,66600.0,17600.0,0.4367,2,0.714,Fair,3,Mostly Paid,18.3,40,7200.0,Yes,11.5,Bad
67700.0,5645.37,40000.0,4500.0,0.0665,2,0.4,Good,2,Mostly Paid,6.1,75,4300.0,No,13.8,Good
74200.0,6101.9,33500.0,21600.0,0.2911,2,,Poor,2,Delayed,2.3,27,20200.0,No,7.1,Good
21000.0,1947.71,10000.0,10000.0,0.4762,0,0.688,Fair,3,Defaulted,27.8,71,5400.0,Yes,41.9,Bad
118600.0,9845.84,16900.0,78400.0,0.661,3,,Fair,3,Mostly Paid,2.1,22,9600.0,No,2.4,Bad
49200.0,3914.4,28800.0,9300.0,0.189,3,0.662,Good,2,Defaulted,5.0,53,2400.0,No,10.1,Good
53900.0,4383.65,40100.0,36800.0,0.6827,2,0.714,Fair,2,All Paid,4.5,51,1700.0,No,24.3,Bad
127700.0,10704.13,12100.0,27200.0,0.213,4,0.607,Fair,4,Defaulted,30.0,69,34600.0,No,41.2,Good
51000.0,4160.08,5300.0,17800.0,0.349,1,0.566,Good,2,All Paid,21.9,48,6600.0,No,19.2,Good
23100.0,1850.0,19800.0,26800.0,1.1602,3,1.0,Fair,4,Mostly Paid,7.5,27,2300.0,Yes,3.3,Bad
32600.0,2511.2,28100.0,2600.0,0.0798,3,0.354,Good,1,Mostly Paid,9.2,75,13200.0,No,15.4,Good
222900.0,18862.07,12100.0,12300.0,0.0552,5,0.132,,0,Mostly Paid,5.2,36,40600.0,No,4.0,Good
24700.0,1989.81,28700.0,3100.0,0.1255,4,0.415,Good,1,Mostly Paid,46.2,75,4100.0,No,15.3,Good
48500.0,3899.36,19500.0,2600.0,0.0536,4,0.349,Good,1,Mostly Paid,31.7,49,13700.0,No,8.3,Good
65500.0,5337.31,26200.0,6600.0,0.1008,3,0.235,Fair,1,Mostly Paid,1.3,18,22600.0,No,0.8,Good
64200.0,5510.51,19900.0,26200.0,0.4081,2,0.815,Fair,4,Delayed,27.3,73,15400.0,No,30.8,Good
20300.0,1806.31,39700.0,4000.0,0.197,4,0.355,Good,2,Mostly Paid,0.4,22,2900.0,No,1.1,Good
65200.0,5332.96,6500.0,9200.0,0.1411,5,0.358,Excellent,1,Defaulted,30.9,62,6700.0,No,19.9,Good
51500.0,4298.13,11600.0,7100.0,0.1379,3,,Fair,3,All Paid,0.2,21,15700.0,No,0.9,Good
252600.0,21105.34,24800.0,16400.0,0.0649,2,0.592,Poor,3,Mostly Paid,8.0,33,37400.0,No,8.4,Good
31300.0,2467.52,20400.0,5600.0,0.1789,1,0.28,Excellent,1,Delayed,1.1,41,8100.0,Yes,8.1,Good
48400.0,3725.21,22400.0,14200.0,0.2934,2,0.595,Good,4,Delayed,14.9,33,21900.0,No,3.8,Bad
55300.0,4711.34,62000.0,2500.0,0.0452,2,0.443,Excellent,1,Defaulted,49.6,72,27900.0,No,14.8,Good
52200.0,4220.25,81100.0,56500.0,1.0824,0,1.0,Excellent,5,Mostly Paid,2.3,19,3900.0,No,1.1,Bad
91200.0,7688.07,15000.0,16000.0,0.1754,6,0.502,Fair,2,Defaulted,48.2,66,4300.0,No,18.9,Good
35800.0,3047.54,68400.0,31700.0,0.8855,2,0.786,Poor,3,Delayed,3.3,45,2700.0,No,12.9,Bad
36200.0,3027.83,26500.0,1600.0,0.0442,3,0.337,Good,1,Delayed,3.1,49,10600.0,No,21.6,Good
104900.0,8656.44,16200.0,45900.0,0.4376,3,0.725,Poor,4,All Paid,13.9,44,10200.0,No,15.1,Good
65100.0,5298.21,150000.0,18800.0,0.2888,1,0.601,Good,4,Defaulted,8.8,37,3000.0,No,8.5,Bad
54900.0,4347.32,66000.0,28200.0,0.5137,1,0.71,Good,2,Delayed,8.5,41,1600.0,No,18.4,Good
32000.0,2543.72,150000.0,8800.0,0.275,1,0.655,Good,2,Mostly Paid,8.9,29,3000.0,No,3.0,Bad
33500.0,2905.43,11400.0,33100.0,0.9881,1,0.574,Good,5,Mostly Paid,49.2,67,1500.0,No,15.1,Good
20700.0,2004.57,10400.0,6100.0,0.2947,1,0.669,Good,2,Mostly Paid,9.7,52,1200.0,No,25.8,Good
26200.0,2433.55,29500.0,12100.0,0.4618,7,0.795,Good,3,Defaulted,20.9,50,6500.0,Yes,23.0,Bad
72900.0,6104.08,40600.0,45900.0,0.6296,5,0.988,Poor,4,Delayed,11.4,50,800.0,No,6.3,Bad
164600.0,13996.13,11600.0,61900.0,0.3761,3,0.855,Excellent,4,Delayed,26.8,68,4600.0,No,38.3,Good
42000.0,3438.64,73900.0,9400.0,0.2238,4,0.547,Excellent,2,Delayed,39.3,60,16100.0,Yes,4.6,Bad
45800.0,3558.46,31600.0,4400.0,0.0961,1,0.348,Fair,1,All Paid,1.3,54,,No,25.0,Good
28000.0,2717.51,23500.0,16200.0,0.5786,2,0.904,Poor,4,Defaulted,5.1,29,2700.0,Yes,3.5,Bad
52000.0,4439.89,37300.0,10200.0,0.1962,3,0.48,Good,1,Delayed,0.4,20,1500.0,No,0.7,Good
22500.0,1568.07,40300.0,6500.0,0.2889,4,0.647,Good,2,Mostly Paid,0.7,18,6000.0,Yes,0.5,Bad
182300.0,15503.48,6500.0,4500.0,0.0247,0,0.255,Good,1,Defaulted,31.9,50,16800.0,Yes,24.0,Good
92700.0,7576.32,150000.0,19100.0,0.206,3,0.445,Good,4,Defaulted,30.6,57,1400.0,Yes,26.0,Bad
300000.0,24894.82,20800.0,107800.0,0.3593,3,0.745,Fair,3,Defaulted,1.9,27,10800.0,Yes,7.8,Bad
159400.0,13487.61,7200.0,41900.0,0.2629,1,0.348,Good,1,Mostly Paid,10.8,60,5200.0,No,20.6,Good
61600.0,5405.67,71900.0,11000.0,0.1786,2,0.263,Good,2,Mostly Paid,9.2,61,11500.0,Yes,20.1,Good
67700.0,5441.52,150000.0,5100.0,0.0753,6,0.219,Fair,2,Defaulted,,46,31400.0,No,3.2,Bad
33700.0,3102.53,64300.0,3700.0,0.1098,1,0.245,Excellent,1,Delayed,0.1,30,11100.0,No,2.9,Good
60300.0,5199.85,71800.0,21800.0,0.3615,3,0.593,Fair,3,All Paid,7.7,29,10000.0,Yes,5.4,Bad
171700.0,14148.38,39400.0,13100.0,0.0763,4,0.29,Good,2,Mostly Paid,17.9,48,19300.0,No,19.4,Good
23400.0,1900.82,94400.0,6800.0,0.2906,3,0.333,Fair,3,Delayed,8.1,63,5000.0,Yes,31.1,Bad
149500.0,12761.56,6300.0,40000.0,0.2676,4,0.506,Fair,3,Delayed,0.7,19,18000.0,No,0.6,Good
47100.0,3612.89,55900.0,49700.0,1.0552,1,0.911,Good,3,All Paid,39.6,68,3200.0,No,30.5,Good
169400.0,14392.81,43900.0,3200.0,0.0189,1,0.274,Good,2,Mostly Paid,13.6,67,39000.0,No,34.0,Good
203800.0,17152.61,6800.0,7000.0,0.0343,3,0.239,Poor,2,Mostly Paid,24.4,52,84700.0,No,12.7,Good
92200.0,7785.16,32500.0,19500.0,0.2115,5,0.6,Poor,6,Delayed,17.4,40,9100.0,Yes,13.5,Bad
91000.0,7609.67,30300.0,20400.0,0.2242,6,0.835,Fair,5,All Paid,11.0,34,34000.0,No,6.9,Good
59200.0,5327.36,46200.0,700.0,0.0118,2,0.26,Fair,3,Delayed,18.2,43,7200.0,Yes,20.5,Bad
137300.0,11865.25,7800.0,72000.0,0.5244,4,0.687,Fair,4,Mostly Paid,0.0,25,14600.0,No,0.8,Bad
231900.0,19201.95,62300.0,47500.0,0.2048,2,0.322,Excellent,1,Mostly Paid,23.6,46,1800.0,No,11.3,Good
117000.0,9872.44,10300.0,14900.0,0.1274,2,0.46,Fair,3,Defaulted,20.1,43,28300.0,Yes,7.4,Bad
83200.0,7308.21,24000.0,9600.0,0.1154,1,0.272,Excellent,2,Mostly Paid,2.9,27,27900.0,No,6.9,Good
80700.0,6567.99,79600.0,47800.0,0.5923,3,0.865,Fair,4,Mostly Paid,25.5,43,18100.0,No,7.8,Bad
143100.0,11973.63,33800.0,9400.0,0.0657,8,0.152,Fair,1,Mostly Paid,31.7,51,,No,16.3,Good
70600.0,6084.11,21700.0,3700.0,0.0524,6,0.293,Fair,2,All Paid,29.4,68,2000.0,No,31.5,Good
125900.0,10088.69,6700.0,9100.0,0.0723,2,0.161,Good,0,Delayed,38.6,58,21900.0,No,18.4,Good
66200.0,5682.38,44000.0,19500.0,0.2946,2,0.448,Excellent,1,All Paid,0.9,24,7300.0,No,2.7,Good
24200.0,1798.98,150000.0,12100.0,0.5,1,0.649,Good,2,Mostly Paid,3.1,21,3200.0,No,0.5,Bad
51500.0,4330.13,90000.0,6200.0,0.1204,2,0.237,Fair,0,All Paid,40.3,75,35900.0,No,6.7,Good
58200.0,5078.87,49200.0,3300.0,0.0567,2,0.463,Fair,2,Defaulted,46.8,70,15500.0,No,40.8,Good
29900.0,2013.83,8900.0,2100.0,0.0702,5,0.158,Excellent,1,All Paid,17.1,67,3700.0,No,27.5,Good
27000.0,2407.17,14600.0,7800.0,0.2889,2,0.455,Fair,2,Mostly Paid,20.1,62,600.0,No,30.5,Good
69800.0,6224.33,12200.0,5900.0,0.0845,6,0.188,Fair,2,Defaulted,,28,1000.0,No,4.8,Good
25800.0,2043.34,20400.0,16200.0,0.6279,2,0.563,Good,4,Defaulted,29.1,46,6500.0,Yes,8.2,Good
43500.0,3740.34,14400.0,1400.0,0.0322,3,0.568,Good,2,Mostly Paid,7.6,73,16300.0,No,17.1,Good
108700.0,9325.39,14800.0,1100.0,0.0101,5,0.266,Good,4,Defaulted,6.2,53,27200.0,No,4.7,Good
236900.0,19423.08,38600.0,6600.0,0.0279,6,0.342,Fair,1,Mostly Paid,22.9,42,25200.0,No,16.3,Good
102300.0,8676.47,18400.0,57300.0,0.5601,2,0.98,Excellent,5,All Paid,11.8,38,1100.0,Yes,10.6,Good
300000.0,25204.75,44600.0,94800.0,0.316,2,0.605,Good,2,All Paid,31.7,74,200000.0,No,24.9,Good
97900.0,8286.06,108400.0,92900.0,0.9489,3,1.0,Poor,5,Defaulted,10.6,53,84600.0,Yes,25.1,Bad
42600.0,3567.32,40600.0,5200.0,0.1221,3,0.685,Poor,4,Mostly Paid,5.9,27,7300.0,No,4.1,Good
92500.0,7508.25,53800.0,6600.0,0.0714,2,0.644,Fair,4,Delayed,21.2,54,1900.0,No,28.3,Good
98700.0,8503.28,53700.0,24400.0,0.2472,1,0.71,Fair,3,Mostly Paid,8.9,26,15900.0,No,1.0,Good
50200.0,4190.23,19100.0,11600.0,0.2311,2,0.536,Good,2,Mostly Paid,21.8,41,22900.0,No,18.9,Good
21200.0,1585.89,5500.0,5700.0,0.2689,4,0.567,Poor,3,All Paid,27.7,52,5300.0,No,23.5,Good
99000.0,8186.39,7000.0,12700.0,0.1283,1,0.267,Poor,3,Defaulted,28.6,66,25700.0,Yes,17.1,Bad
21400.0,1857.01,16600.0,0.0,0.0,3,0.059,Good,0,Mostly Paid,12.2,52,900.0,No,18.1,Good
84800.0,6754.43,45900.0,900.0,0.0106,6,0.301,Excellent,1,Mostly Paid,17.4,65,2400.0,No,33.9,Good
31600.0,2636.92,88000.0,10300.0,0.3259,5,0.462,Fair,4,Delayed,1.8,53,1400.0,Yes,15.7,Bad
74200.0,6099.96,116600.0,16500.0,0.2224,7,0.314,Fair,1,Delayed,14.0,35,35300.0,No,2.4,Good
65600.0,5733.87,5900.0,33900.0,0.5168,6,0.706,Fair,2,Mostly Paid,26.8,66,10300.0,No,35.9,Good
20900.0,1366.69,150000.0,2200.0,0.1053,3,0.582,Good,2,Mostly Paid,30.2,56,7100.0,No,18.0,Bad
49300.0,4296.08,18600.0,25000.0,0.5071,4,0.649,Poor,3,Defaulted,14.1,49,1700.0,Yes,15.4,Bad
79700.0,6925.09,69800.0,13300.0,0.1669,1,,Excellent,1,Delayed,18.1,41,42400.0,No,2.6,Good
142700.0,11524.25,12000.0,4400.0,0.0308,2,0.626,Good,2,Mostly Paid,22.0,40,49600.0,No,3.9,Good
162700.0,13214.9,7300.0,120000.0,0.7376,2,0.655,Fair,3,Mostly Paid,23.5,49,8800.0,No,20.6,Good
63000.0,5607.18,21600.0,13600.0,0.2159,7,0.523,Poor,2,All Paid,12.2,54,26600.0,No,15.0,Good
104700.0,8544.13,73500.0,31200.0,0.298,7,0.502,Fair,2,Mostly Paid,6.0,29,6900.0,No,9.6,Good
44700.0,4343.97,13700.0,14900.0,0.3333,2,0.553,Excellent,2,All Paid,42.6,66,2600.0,No,28.8,Good
47200.0,3572.17,10900.0,6400.0,0.1356,5,0.474,Good,2,All Paid,36.1,72,3400.0,No,42.1,Good
34100.0,2875.68,89200.0,14100.0,0.4135,4,0.647,Fair,3,Mostly Paid,12.7,30,16900.0,No,3.8,Bad
73700.0,6136.99,102500.0,45200.0,0.6133,5,0.89,Good,5,Delayed,0.9,40,36900.0,No,5.1,Bad
44600.0,3675.03,5400.0,6600.0,0.148,2,0.266,Excellent,1,Defaulted,23.7,42,4100.0,Yes,9.1,Good
25700.0,2234.26,50500.0,8200.0,0.3191,2,0.549,Poor,2,Mostly Paid,2.1,52,6800.0,No,10.0,Bad
95100.0,8029.13,17900.0,40400.0,0.4248,0,0.646,Poor,2,All Paid,18.9,58,21900.0,Yes,21.7,Good
100000.0,8299.8,21400.0,6300.0,0.063,3,0.146,Good,1,Delayed,22.8,47,33400.0,No,18.6,Good
49000.0,3880.5,27200.0,5900.0,0.1204,3,0.436,Good,1,Mostly Paid,6.2,34,3900.0,No,6.5,Good
25200.0,2309.55,24500.0,900.0,0.0357,3,0.364,Poor,3,Defaulted,43.1,66,4100.0,No,8.0,Bad
56100.0,4800.61,30300.0,15500.0,0.2763,5,0.896,Fair,4,Delayed,14.6,37,12900.0,No,2.4,Bad
58000.0,4856.25,35600.0,28100.0,0.4845,4,0.93,Poor,3,Defaulted,24.2,65,800.0,Yes,12.1,Bad
91800.0,7769.27,26900.0,26000.0,0.2832,3,0.73,Fair,2,Delayed,4.8,42,9200.0,Yes,15.3,Good
44600.0,3870.45,47300.0,2700.0,0.0605,3,0.252,Good,2,Mostly Paid,14.4,39,11100.0,No,5.6,Good
94600.0,7730.99,49400.0,22400.0,0.2368,4,0.316,Poor,2,Mostly Paid,7.9,30,6000.0,No,9.6,Good
153400.0,12895.47,25300.0,82900.0,0.5404,4,0.542,Fair,3,Delayed,9.6,36,97500.0,Yes,10.6,Good
37600.0,3022.73,10400.0,4100.0,0.109,2,0.397,Good,2,All Paid,15.2,66,700.0,No,34.5,Good
270900.0,22735.41,40800.0,120000.0,0.443,3,0.523,Excellent,2,Defaulted,7.1,53,172400.0,Yes,13.3,Good
51700.0,4269.85,56900.0,23800.0,0.4603,6,0.625,Poor,3,Delayed,0.6,29,,No,9.5,Bad
40200.0,3472.34,40600.0,300.0,0.0075,3,0.526,Good,4,Defaulted,4.8,58,900.0,Yes,23.6,Bad
55600.0,4546.57,36000.0,4600.0,0.0827,1,0.202,Poor,1,All Paid,2.8,36,4300.0,No,6.6,Good
26400.0,2332.74,14100.0,6200.0,0.2348,3,0.546,Poor,2,All Paid,0.3,29,8600.0,No,3.0,Good
28700.0,2195.91,41300.0,10900.0,0.3798,3,0.495,Poor,3,Mostly Paid,3.2,26,8500.0,No,6.4,Good
54800.0,4573.9,19300.0,34900.0,0.6369,2,0.615,Fair,3,Defaulted,7.0,24,3100.0,Yes,2.3,Bad
113400.0,9646.13,93200.0,34900.0,0.3078,4,,Fair,4,All Paid,2.7,45,5500.0,No,3.7,Good
169900.0,14251.77,42100.0,24400.0,0.1436,3,0.303,Poor,1,Mostly Paid,9.1,31,35500.0,No,4.1,Good
91100.0,7630.07,16400.0,5600.0,0.0615,1,0.206,Fair,0,All Paid,1.4,48,11700.0,No,7.0,Good
27200.0,2627.38,27400.0,11600.0,0.4265,1,0.759,Poor,4,Mostly Paid,42.6,69,9000.0,No,16.8,Good
92500.0,7913.06,70600.0,6400.0,0.0692,2,0.18,Excellent,0,All Paid,9.9,36,1000.0,No,10.1,Good
85600.0,7304.44,19300.0,30500.0,0.3563,4,0.442,Good,2,All Paid,20.3,75,16600.0,No,26.1,Good
126500.0,10673.27,31100.0,7600.0,0.0601,2,0.137,Good,0,All Paid,45.2,64,33700.0,No,28.1,Good
133400.0,11273.21,44800.0,3800.0,0.0285,4,0.525,Poor,3,Defaulted,6.7,33,134400.0,Yes,5.3,Bad
151700.0,12973.09,54200.0,13200.0,0.087,2,0.454,Excellent,2,Mostly Paid,26.6,70,35000.0,No,9.7,Good
54800.0,4483.13,11700.0,5500.0,0.1004,5,0.114,Excellent,0,Mostly Paid,2.3,22,3400.0,No,1.1,Good
97800.0,8351.88,34100.0,30600.0,0.3129,5,0.807,Excellent,4,Mostly Paid,1.9,52,2700.0,No,23.0,Good
40300.0,3429.63,90100.0,2100.0,0.0521,1,0.217,Fair,1,Mostly Paid,8.8,29,8800.0,No,2.0,Bad
300000.0,24923.38,125900.0,120000.0,0.4,4,0.949,Poor,4,Defaulted,15.2,42,44900.0,No,16.5,Good
32500.0,2688.39,42400.0,7900.0,0.2431,1,0.311,Good,2,Delayed,12.2,69,15400.0,No,12.9,Good
20700.0,1768.83,149000.0,4200.0,0.2029,4,0.526,Poor,3,Mostly Paid,8.5,38,5900.0,No,12.1,Bad
30500.0,2369.68,34600.0,5200.0,0.1705,5,0.426,Poor,1,Delayed,35.8,53,4800.0,No,19.3,Good
117200.0,9939.47,25500.0,29400.0,0.2509,2,0.85,,5,Delayed,21.0,70,12600.0,No,8.9,Good
58500.0,4854.43,33100.0,400.0,0.0068,2,0.094,Excellent,0,Mostly Paid,9.7,40,6600.0,No,13.0,Good
58600.0,4900.32,9300.0,81100.0,1.384,4,0.961,Fair,3,Mostly Paid,11.6,33,3500.0,No,6.6,Bad
221600.0,18738.11,23000.0,54200.0,0.2446,4,0.368,Fair,1,Mostly Paid,16.2,74,1300.0,No,33.9,Good
183900.0,15350.95,26500.0,2000.0,0.0109,4,0.557,Poor,4,Delayed,13.7,56,32000.0,No,26.7,Good
44200.0,3993.87,71100.0,11800.0,0.267,1,0.516,Excellent,2,Mostly Paid,13.9,62,2600.0,No,5.7,Good
35200.0,2828.37,54800.0,6100.0,0.1733,4,0.422,Good,2,Mostly Paid,33.0,70,2100.0,No,29.3,Good
142700.0,11672.25,37200.0,1000.0,0.007,3,0.426,Good,1,All Paid,19.3,59,4300.0,No,7.3,Good
173700.0,14417.0,19900.0,120000.0,0.6908,4,0.657,Fair,2,Mostly Paid,10.4,75,7800.0,No,21.2,Good
70700.0,5328.72,12200.0,200.0,0.0028,3,0.229,Good,0,Mostly Paid,15.9,56,1000.0,No,4.2,Good
84500.0,7222.82,20000.0,21900.0,0.2592,2,0.648,Excellent,2,All Paid,3.0,31,19500.0,No,4.6,Good
39300.0,3067.22,44900.0,38500.0,0.9796,4,0.783,Poor,3,Defaulted,30.4,48,4500.0,Yes,6.8,Bad
124900.0,10284.79,15700.0,10200.0,0.0817,6,0.186,Poor,1,Defaulted,54.8,75,21100.0,No,28.4,Good
85000.0,7226.59,24500.0,7500.0,0.0882,4,0.365,Excellent,2,All Paid,5.5,22,17700.0,No,2.3,Good
65500.0,5482.16,22100.0,0.0,0.0,4,0.074,Good,1,Defaulted,18.5,52,47600.0,Yes,22.9,Good
24000.0,1911.89,55800.0,500.0,0.0208,0,0.551,Fair,3,All Paid,4.3,40,800.0,No,12.6,Bad
181000.0,14676.02,80300.0,2500.0,0.0138,0,0.107,Good,1,Mostly Paid,25.2,46,20100.0,No,17.4,Good
82100.0,7101.83,47100.0,42600.0,0.5189,5,0.905,Good,4,Defaulted,3.3,60,5100.0,Yes,7.1,Bad
33900.0,2969.62,19600.0,18400.0,0.5428,5,0.948,Fair,4,Mostly Paid,3.6,28,4900.0,No,1.3,Good
80600.0,7127.81,24900.0,31400.0,0.3896,3,0.791,Fair,3,Delayed,9.0,35,41300.0,Yes,14.0,Good
93600.0,7680.72,10400.0,12200.0,0.1303,4,,Good,2,Delayed,23.9,64,24600.0,No,18.7,Good
68500.0,5417.44,11400.0,35400.0,0.5168,4,1.0,Fair,4,Delayed,5.2,29,15400.0,No,4.5,Bad
102300.0,8723.95,11300.0,23800.0,0.2326,3,0.669,Fair,3,Defaulted,2.2,26,,Yes,1.1,Bad
76600.0,6345.72,9900.0,8300.0,0.1084,1,0.609,Fair,2,Mostly Paid,9.5,27,17500.0,No,1.8,Good
211900.0,17783.97,11900.0,36600.0,0.1727,5,0.569,Fair,3,Delayed,36.7,75,1900.0,No,44.0,Good
23600.0,2290.65,12900.0,500.0,0.0212,1,0.271,,1,Mostly Paid,37.1,61,4700.0,No,25.8,Good
27300.0,2352.63,9200.0,23700.0,0.8681,3,0.722,Fair,3,Defaulted,7.3,34,4900.0,Yes,6.6,Bad
32400.0,2733.46,40800.0,9400.0,0.2901,3,0.361,Good,1,Mostly Paid,39.0,55,3300.0,No,27.9,Good
96200.0,8062.67,150000.0,37900.0,0.394,4,1.0,Fair,4,Delayed,4.3,24,4800.0,No,3.6,Bad
87400.0,6955.88,79000.0,29600.0,0.3387,6,0.68,Excellent,2,Delayed,9.3,63,29300.0,No,28.6,Good
164700.0,13946.61,6600.0,54400.0,0.3303,1,0.403,Fair,3,Mostly Paid,5.8,30,2300.0,No,5.2,Good
105800.0,9051.08,24300.0,600.0,0.0057,2,0.278,Good,1,Mostly Paid,3.1,57,2000.0,No,16.1,Good
66100.0,5614.45,73600.0,14800.0,0.2239,3,0.501,Fair,2,All Paid,19.5,59,8200.0,No,6.2,Good
300000.0,24696.92,10100.0,120000.0,0.4,1,0.514,Good,2,Mostly Paid,0.4,26,18000.0,No,5.5,Good
40100.0,3317.44,70900.0,500.0,0.0125,4,0.078,Excellent,2,Mostly Paid,6.3,67,11500.0,No,8.5,Good
136400.0,11654.37,36400.0,120000.0,0.8798,2,0.871,Fair,3,Delayed,3.3,44,27900.0,Yes,17.1,Bad
56200.0,4570.18,98700.0,9300.0,0.1655,3,0.531,Fair,2,Mostly Paid,28.1,75,17100.0,No,13.5,Bad
88000.0,7570.18,78100.0,9000.0,0.1023,3,0.371,Good,2,Mostly Paid,1.3,19,7400.0,No,0.5,Good
104500.0,8719.35,44600.0,23800.0,0.2278,4,0.439,Fair,1,Defaulted,2.0,22,28700.0,Yes,3.7,Good
85300.0,7250.83,42500.0,41300.0,0.4842,2,0.7,Fair,4,Delayed,23.8,46,34300.0,No,12.5,Good
29800.0,2400.91,13400.0,5800.0,0.1946,3,0.75,Poor,3,Mostly Paid,36.4,54,3000.0,No,6.9,Good
58000.0,4850.21,9300.0,18000.0,0.3103,6,0.847,Good,3,Mostly Paid,15.4,55,5300.0,No,27.9,Good
73600.0,6220.68,23800.0,15300.0,0.2079,1,0.447,Excellent,1,Mostly Paid,19.9,36,,No,7.9,Good
142900.0,11691.69,12200.0,42800.0,0.2995,2,0.641,Poor,3,Defaulted,3.7,25,2000.0,Yes,1.5,Bad
58100.0,4896.45,8800.0,2600.0,0.0448,4,0.09,Good,1,Mostly Paid,23.0,65,5500.0,No,17.9,Good
183200.0,14728.96,17600.0,2200.0,0.012,3,0.284,Good,2,Delayed,33.9,62,5100.0,Yes,23.1,Good
57700.0,4688.03,73900.0,2500.0,0.0433,2,,Excellent,0,All Paid,1.2,18,800.0,No,0.5,Good
71700.0,6083.78,5600.0,7200.0,0.1004,2,0.224,Poor,2,Mostly Paid,17.1,39,2200.0,No,16.4,Good
123400.0,10507.39,17100.0,10800.0,0.0875,2,0.327,Excellent,1,Mostly Paid,18.8,69,14400.0,No,15.0,Good
76900.0,6502.88,24300.0,22000.0,0.2861,1,0.631,Good,2,All Paid,16.5,34,,No,3.8,Good
229600.0,18855.27,30000.0,41900.0,0.1825,3,0.276,Good,1,Defaulted,6.4,24,16200.0,No,1.8,Good
90200.0,7723.24,12000.0,1100.0,0.0122,3,0.223,Fair,2,Mostly Paid,13.2,42,34700.0,No,4.0,Good
68100.0,5447.17,121600.0,700.0,0.0103,5,0.149,Fair,2,Delayed,18.5,62,8300.0,No,18.7,Good
21600.0,1922.84,35300.0,600.0,0.0278,4,0.466,Good,2,Mostly Paid,4.3,21,15400.0,No,2.9,Good
54700.0,4337.17,30800.0,7100.0,0.1298,2,0.318,Good,1,Delayed,11.9,53,34200.0,No,11.3,Good
43100.0,3437.03,5300.0,100.0,0.0023,1,0.254,Good,3,All Paid,5.2,23,13300.0,No,1.7,Good
109600.0,8942.06,28300.0,22400.0,0.2044,3,0.597,Fair,2,Mostly Paid,25.9,48,59600.0,No,21.3,Good
35200.0,2961.13,68600.0,4700.0,0.1335,5,0.329,Excellent,4,Delayed,5.6,36,9100.0,No,6.0,Bad
34900.0,2869.23,13700.0,8500.0,0.2436,6,0.47,Good,1,Mostly Paid,30.8,61,16300.0,No,19.1,Good
33700.0,2910.12,20100.0,12900.0,0.3828,3,0.818,Fair,3,Defaulted,35.7,71,2300.0,Yes,6.6,Bad
28700.0,2387.94,5700.0,2500.0,0.0871,5,,Excellent,2,Mostly Paid,18.7,56,2900.0,No,11.7,Good
44200.0,3379.76,136900.0,2300.0,0.052,7,0.551,Good,2,All Paid,15.3,44,12900.0,No,5.2,Bad
161100.0,13480.16,7400.0,15700.0,0.0975,1,0.314,Fair,3,Defaulted,3.2,27,18300.0,Yes,1.7,Bad
116900.0,9389.23,85000.0,100.0,0.0009,3,0.019,Good,2,Delayed,22.2,43,43000.0,No,10.5,Good
106400.0,8689.9,18100.0,4100.0,0.0385,5,0.285,Fair,2,Mostly Paid,16.9,36,45200.0,No,5.6,Good
123800.0,10243.88,36000.0,51600.0,0.4168,3,0.458,Good,1,All Paid,32.8,56,9300.0,No,8.4,Good
40400.0,3280.03,44800.0,3100.0,0.0767,2,0.333,Good,2,Delayed,1.4,20,14500.0,No,1.4,Bad
162000.0,13170.52,10300.0,120000.0,0.7407,7,0.953,Fair,3,Defaulted,27.1,62,5900.0,No,29.2,Good
29600.0,2740.9,25500.0,1600.0,0.0541,2,0.447,Fair,3,Mostly Paid,10.4,30,2900.0,No,8.0,Good
46600.0,4212.93,18800.0,21700.0,0.4657,5,0.64,Excellent,2,Delayed,46.6,67,7300.0,No,13.8,Good
77400.0,6900.16,7000.0,28400.0,0.3669,3,0.567,Poor,2,Defaulted,10.5,45,4500.0,No,8.0,Good
27100.0,2487.86,67700.0,3200.0,0.1181,3,0.466,Good,1,Mostly Paid,56.8,75,5200.0,No,35.5,Good
105100.0,8679.24,6600.0,12700.0,0.1208,4,0.356,Good,1,Defaulted,13.0,37,18700.0,No,9.8,Good
51800.0,4234.13,42100.0,12900.0,0.249,3,0.359,Fair,2,Mostly Paid,0.2,45,2900.0,No,17.4,Good
119700.0,9881.42,18200.0,68700.0,0.5739,4,0.576,Fair,3,Delayed,0.5,25,38500.0,No,0.8,Good
64100.0,5738.79,12500.0,9400.0,0.1466,6,,Poor,3,Defaulted,5.4,58,13300.0,Yes,6.6,Bad
33000.0,2726.89,43500.0,600.0,0.0182,1,0.272,Fair,1,Mostly Paid,3.3,56,3000.0,No,25.8,Good
106300.0,9112.18,34900.0,15000.0,0.1411,3,0.209,Poor,6,Delayed,1.2,18,6100.0,No,0.7,Good
38900.0,3479.95,18300.0,2700.0,0.0694,1,0.299,Excellent,1,Defaulted,3.1,20,16900.0,No,1.0,Good
